uid,note,controller_id,build_tunnel,mac_address,ip_tunnel,ip_support,pcb_version,pcb_dipswitch_value,jacks_state,sensors_fault,phases_detected,frequency_detected,firmware_version,ip_public,ip_dhcp,datetime_reboot,datetime_online,datetime_tunnel,datetime_vglms_start,datetime_button_user,datetime_button_user_long,datetime_reset,datetime_reset_long,datetime_created,tunnel_ping_time,oem,calibration_version
22J3Z5B6YE,Reliable 20240820,54,1,98f07b9da75a,10.241.64.78,172.17.2.190,5,2,3,0,,,11226,154.20.40.24,10.10.10.138,2024-12-15 06:56:46,,,2024-12-31 17:34:45,2024-12-13 13:14:59,2024-09-08 03:47:58,2024-08-22 14:47:33,,2024-07-12 13:16:16,67,,1
242YBSB44B,Reliable 20240820,77,0,3ce0641c6b9a,10.241.64.38,172.17.2.126,5,2,3,0,,,11226,205.250.228.207,192.168.1.69,2024-12-28 16:11:10,,,2024-12-31 18:27:15,2024-09-26 13:20:02,2024-11-03 18:30:08,2024-08-20 17:09:17,,2024-04-18 15:00:46,68,,1
2FZZ7NB5AD,Reliable 20240912,,0,60e85bfce4ba,,172.17.2.158,5,2,0,0,,,11198,184.71.162.178,192.168.1.176,2024-05-27 13:01:54,,,2024-11-26 23:47:15,,2024-11-25 18:02:02,2024-09-12 16:18:38,,2024-04-04 16:27:09,0,,1
2U25GSB44B,Reliable 20240820 PRO,,1,3ce0646eea9a,10.241.65.154,172.17.2.126,5,0,0,0,,,11156,209.20.60.12,192.168.111.149,2024-09-10 16:43:54,,,2024-09-10 17:01:20,,,2024-08-22 14:17:59,,2024-08-20 20:58:20,10,,1
33J3Z5B6YE,MIKE K Westburne Vancouver 20241018,,0,98f07b9da77b,,172.17.2.223,5,2,3,0,,,11192,75.155.191.75,192.168.1.76,2024-11-08 22:45:41,,,2024-11-07 22:06:05,2024-11-07 22:08:36,2024-11-07 22:09:27,2024-10-18 16:09:19,,2024-10-04 13:24:09,0,,1
3DQTGSB44B,Reliable 20240820 PRO,,1,3ce06469c07b,10.241.65.142,172.17.2.223,5,0,0,0,,,11226,209.20.60.12,192.168.111.144,2024-12-13 16:45:17,,,2024-12-31 18:28:25,2024-09-10 16:18:31,,2024-12-30 19:24:21,,2024-08-20 20:14:49,10,,1
3HNAHSB44B,Reliable 20240912,,0,3ce0647034fb,,172.17.2.223,5,2,0,0,,,11198,184.71.162.178,192.168.1.181,2024-05-27 13:01:54,,,2024-11-26 23:47:09,2024-11-01 16:39:09,2024-05-27 13:02:19,2024-04-04 15:20:58,,2024-04-04 15:03:54,0,,1
3IL3Z5B6YE,Toronto Stock 20241203 Dee 20241217,,0,98f07b9dad1b,,172.17.2.127,0,0,0,,,,11226,209.20.60.12,192.168.111.194,2024-12-17 15:47:08,,,2024-12-31 17:56:54,2024-12-03 17:52:29,,2024-12-17 16:04:37,,2024-10-22 20:07:52,0,,1
3TRH7NB5AD,Reliable 20240820 PRO,,1,60e85bf3c67b,10.241.65.62,172.17.2.223,5,0,0,0,,,11170,,192.168.1.86,2024-09-04 18:06:27,,,2024-08-20 21:09:15,2024-08-20 21:03:17,,2024-06-07 14:56:14,,2024-06-07 14:45:58,,,1
4HUONYS44B,Reliable 20240820 PRO,206,1,3ce4b0d750fc,10.241.65.170,172.17.2.224,5,0,7,0,,,11226,184.151.230.151,192.168.2.86,2024-12-27 22:21:44,,,2024-12-31 17:40:25,2024-08-20 21:47:29,,2024-08-22 13:42:59,,2024-08-20 21:27:51,124,,1
